KPI_ID,KPI_Name,Department_ID,KPI_Category_ID,Description,Calculation,Numerator,Denominator,Data_Source,System_ID,Frequency,Target,Lower_Threshold,Upper_Threshold,RAG_Logic,Primary_Audience,Notes
76,CTS Waiting List Size,CTS,Access,Number of clients waiting to start therapy.,,,,,,Monthly,,,,,,
77,Waiting List Rate,CTS,Access,Waiting list as proportion of referrals.,,,,,,Monthly,,,,,,
78,Average Waiting Time to Start,CTS,Access,Average time from referral to first session.,,,,,,Monthly,,,,,,
79,Assessments Completed,CTS,Delivery,Number of completed assessments during period.,,,,,,Monthly,,,,,,
80,Assessment Completion Rate,CTS,Delivery,Percentage of registered clients completing assessment.,,,,,,Monthly,,,,,,
81,Clients Ended (Discharged),CTS,Outcomes,Number of clients discharged from therapy.,,,,,,Monthly,,,,,,
82,Average Length of Intervention,CTS,Outcomes,Average duration of therapy episodes.,,,,,,Quarterly,,,,,,
83,Registrations by Pathway,CTS,Demand,Number of registrations by CTS pathway.,,,,,,Monthly,,,,,,
84,Active Clients by Pathway,CTS,Delivery,Active caseload segmented by pathway.,,,,,,Monthly,,,,,,
85,Waiting List by Pathway,CTS,Access,Waiting list size per pathway.,,,,,,Monthly,,,,,,
86,CTS Client Demographics,CTS,Equity,"Gender, locality and access route profile of CTS clients.",,,,,,Quarterly,,,,,,
87,Total Team Meetings,Shared,Workforce,Number of team meetings held,,,,,,,,,,,,
88,Average Frequency of Team Meetings,Shared,Workforce,Number of team meetings held over a time period. Default: Monthly,,,,,,,,,,,,
89,Total Supervisions,Shared,Workforce,Number of supervisions held,,,,,,,,,,,,
90,Facilities Issue Resolution Rate,OOF,Delivery,Percentage of reported facilities and admin issues resolved within the reporting period.,Completed issues ÷ reported issues × 100,,,,,,,,,,,
91,Outstanding Facilities Issues,OOF,Access,Number of unresolved facilities and admin issues at period end.,Count of open issues,,,,,,,,,,,
92,Core Admin Compliance Rate,OOF,Safety,Percentage of scheduled core admin and safety checks completed as planned.,Completed checks ÷ planned checks × 100,,,,,,,,,,,
,Adult Service Users Supported,AdSS,Demand,Number of unique service users supported across Adult Support Services programmes.,Count of unique service users,,,,,,,,,,,
,Adult Interventions Delivered,AdSS,Delivery,Total number of interventions delivered across all Adult Support Services programmes.,Count of interventions (group + individual),,,,,,,,,,,
,Average Session Attendance,AdSS,Delivery,Average number of attendees per session across Adult Support Services programmes.,Total attendance ÷ sessions,,,,,,,,,,,
,Programme Completion Rate,AdSS,Outcomes,Percentage of service users completing structured programmes.,Completed ÷ started × 100,,,,,,,,,,,
,Employment Outcomes Achieved,AdSS,Outcomes,Number of service users achieving and sustaining employment outcomes.,Count of employments and sustainments,,,,,,,,,,,
,Timely Contact Compliance,Shared,Access,Percentage of service users contacted within agreed timeframes.,Contacts within threshold ÷ total × 100,,,,,,,,,,,
,Housing Occupancy Rate,Housing,Demand,Percentage of available housing units that are occupied by tenants.,Occupied Units÷Total Units×100,,,,,,,,,,,
,Void Rate,Housing,Access,Percentage of housing units that are vacant and not currently occupied.,Void Units÷Total Units×100,,,,,,,,,,,
,Average Void Turnaround Time,Housing,Access,Average number of weeks taken to re?let a property after it becomes vacant.,Total Void Weeks÷Number of Properties Re-let,,,,,,,,,,,
,Referral to Move-In Conversion Rate,Housing,Access,Percentage of referrals that result in a tenant moving into supported housing.,Number of Move?Ins÷Total Referrals×100,,,,,,,,,,,
,Access Timeliness Compliance,Shared,Access,"Percentage of housing referrals processed within agreed timeframes (triage, assessment, and move-in).",Cases Meeting Time Targets÷Total Cases×100,,,,,,,,,,,
,Tenant Engagement Rate,Housing,Delivery,Percentage of tenants actively engaging with support sessions.,Engaged Tenants÷Total Tenants×100,,,,,,,,,,,
,Average Support Sessions per Tenant,Housing,Delivery,Average number of support sessions delivered per tenant over the reporting period.,Total Support Sessions Delivered÷Total Tenants,,,,,,,,,,,
,Wellbeing Improvement Rate,Housing,Outcomes,Percentage of tenants showing measurable improvement in wellbeing.,Tenants with Improved Wellbeing÷Tenants Assessed×100,,,,,,,,,,,
,Move-On Rate,Housing,Outcomes,Percentage of tenants successfully moving on to independent or more suitable accommodation.,Number of Move-Ons÷Total Tenants×100,,,,,,,,,,,
,Independent Living Skills Improvement,Housing,Outcomes,Percentage of tenants demonstrating improved independent living skills.,Tenants Showing Improvement÷Tenants Assessed×100,,,,,,,,,,,
,Safeguarding Incidents,Housing,Safety,Total number of safeguarding incidents or referrals recorded within housing services.,Count of safeguarding incidents,,,,,,,,,,,
,Eviction / Unplanned Exit Rate,Housing,Safety,"Percentage of tenancies ending unexpectedly due to eviction, abandonment, or other unplanned exits.",Unplanned Exits÷Total Tenancies×100,,,,,,,,,,,
,Compliance Completion Rate,Housing,Safety,"Percentage of required health & safety, maintenance, and compliance checks completed within required timeframes.",Completed Checks÷Required Checks×100,,,,,,,,,,,
